rank_by,region,industry,industry_name,baseline_go_musd,delta_go_musd,pct_change
abs_usd,CHN,C26,"Manufacture of computer, electronic and optical products",1713857.4824,-22378.142322826898,-1.3057178063306447
abs_usd,CHN,F,Construction,3704059.8108,-20966.010153239127,-0.5660278511731404
abs_usd,MEX,C29,"Manufacture of motor vehicles, trailers and semi-trailers",189783.978,-14578.272490710922,-7.681508546896895
abs_usd,CHN,C20,Manufacture of chemicals and chemical products,1309275.0618,-11432.650015223073,-0.873204596099569
abs_usd,CAN,C29,"Manufacture of motor vehicles, trailers and semi-trailers",76510.3401,-10557.13879021781,-13.798316379746181
abs_usd,CHN,C19,Manufacture of coke and refined petroleum products,672181.436,-10385.049037296674,-1.5449770673667749
abs_usd,CAN,F,Construction,265694.0314,-10241.927529721317,-3.8547826896051673
abs_usd,CHN,C27,Manufacture of electrical equipment,961641.2652,-9498.81067481602,-0.9877707018781561
abs_usd,CHN,C28,Manufacture of machinery and equipment n.e.c.,1250231.9232,-9174.777971948264,-0.7338460810107287
abs_usd,CHN,C24B,Manufacture of basic precious and other non-ferrous metals,724562.3935,-8159.974103862187,-1.1261934344184517
abs_usd,CHN,C29,"Manufacture of motor vehicles, trailers and semi-trailers",975608.1874,-7896.864049869007,-0.8094298666059971
abs_usd,CHN,C24A,Manufacture of basic iron and steel,1100099.707,-7712.425084655639,-0.7010660066156749
abs_usd,FRA,C302T309,Manufacture of other transport equipment,124029.8719,-7646.987757293711,-6.165440341226145
abs_usd,CAN,C19,Manufacture of coke and refined petroleum products,52647.346,-7549.064615044175,-14.338927198807276
abs_usd,CHN,D,"Electricity, gas, steam and air conditioning supply",1078237.8035,-7541.479562853696,-0.6994263731408575
pct,BLR,C19,Manufacture of coke and refined petroleum products,7481.4873,-2206.864183697572,-29.497666643069383
pct,BGR,C19,Manufacture of coke and refined petroleum products,4124.5901,-1097.0714554029578,-26.598314712605205
pct,SVK,C19,Manufacture of coke and refined petroleum products,3874.3355,-957.4421844552239,-24.71242318728525
pct,LTU,C19,Manufacture of coke and refined petroleum products,5207.0847,-1162.7565636906693,-22.330279430458837
pct,BLR,D,"Electricity, gas, steam and air conditioning supply",4633.5295,-984.0642324171354,-21.237897210261323
pct,BLR,C24A,Manufacture of basic iron and steel,1729.5684,-346.19027260350026,-20.01599200144384
pct,HUN,C19,Manufacture of coke and refined petroleum products,5944.9978,-1146.3372412241606,-19.282382934173004
pct,FIN,C19,Manufacture of coke and refined petroleum products,11342.1934,-2186.3330028788223,-19.27610406360045
pct,BLR,C24B,Manufacture of basic precious and other non-ferrous metals,1197.1946,-224.60763030998112,-18.761162998060726
pct,BLR,C20,Manufacture of chemicals and chemical products,5190.9926,-930.5349773696989,-17.925954611642076
pct,BLR,C27,Manufacture of electrical equipment,1391.6743,-224.8885394589836,-16.159566894278612
pct,BLR,C25,Manufacture of fabricated metal products,1594.3014,-245.401747387677,-15.392431279786683
pct,BLR,H51,Air transport,1508.8024,-216.45368023212268,-14.346058849861498
pct,CAN,C19,Manufacture of coke and refined petroleum products,52647.346,-7549.064615044175,-14.338927198807276
pct,CHL,C19,Manufacture of coke and refined petroleum products,4888.8599,-683.0831602448116,-13.972238399484745
