name,latitude,longitude,iso3,company,type,industrial_in_osm
St Gabriel,30.245750,-91.100088,USA,Syngenta,Herbicide,True
Goa,15.499571,73.943898,IND,Syngenta,Unknown,True
Saint-Pierre-la-Garenne,49.159725,1.394220,FRA,Syngenta,Unknown,True
Luling,29.923325,-90.354508,USA,Bayer,Herbicide,True
Kansas City,39.121843,-94.474445,USA,Bayer,Unknown,True
Muscatine,41.349846,-91.082853,USA,Bayer,Pesticide,True
Dormagen,51.073432,6.841337,DEU,Bayer,Various,True
Chemiepark Knapsack,50.860153,6.870302,DEU,BASF,Unknown,True
Industriepark Höchst,50.092835,8.531066,DEU,BASF,Unknown,True
Beaumont,29.970147,-94.052576,USA,BASF,Unknown,True
Cernay,47.800420,7.194349,FRA,Corteva,Unknown,True
Mobile,30.953661,-88.018228,USA,FMC,Unknown,True
Panoli,21.547550,72.997960,IND,FMC,Unknown,False
Ankleshwar,21.626839,73.033812,IND,UPL,Unknown,True
Jhagadia,21.648470,73.129191,IND,UPL,Unknown,True
Wyke,53.740742,-1.753978,GBR,Nufarm,Unknown,True
Gaillon,49.167391,1.379537,FRA,Nufarm,Unknown,True
Chicago Heights,41.499415,-87.627016,USA,Nufarm,Unknown,True
Oita,33.247289,131.684938,JPN,Sumitomo,Unknown,True
Midland,43.598188,-84.208818,USA,Corteva,Unknown,True
Hannibal,39.833968,-91.432693,USA,BASF,Unknown,True
