country,iso3,GDP_PPP,date,agriculture_pct,industry_pct,services_pct,agriculture_GDP_PPP,industry_GDP_PPP,services_GDP_PPP
Afghanistan,AFG,80416000000,2022,33.7,16.1,45,27100192000,12946976000,36187200000
Albania,ALB,49592000000,2023,18.3,21.2,48,9075336000,10513504000,23804160000
Algeria,DZA,699947000000,2023,13.2,38,45.1,92393004000,265979860000,315676097000
Andorra,AND,5168000000,2023,0.5,11.4,78.6,25840000,589152000,4062048000
Angola,AGO,265868000000,2023,14.9,45.3,39.7,39614332000,120438204000,105549596000
Antigua and Barbuda,ATG,2703000000,2023,1.9,19.4,67.8,51357000,524382000,1832634000
Argentina,ARG,1235000000000,2023,6.1,25.1,52.8,75335000000,309985000000,652080000000
Armenia,ARM,57728000000,2023,8.4,23.9,59,4849152000,13796992000,34059520000
Aruba,ABW,4498000000,2022,0,11.4,78.3,0,512772000,3521934000
Australia,AUS,1584000000000,2023,2.4,27.4,64.2,38016000000,434016000000,1016928000000
Austria,AUT,590354000000,2023,1.3,26.3,62.3,7674602000,155263102000,367790542000
Azerbaijan,AZE,215896000000,2023,5.5,46.6,39.1,11874280000,100607536000,84415336000
Bahamas,BHS,13224000000,2023,0.4,8.8,80.8,52896000,1163712000,10684992000
Bahrain,BHR,85491000000,2023,0.3,44.5,51.1,256473000,38043495000,43685901000
Bangladesh,BGD,1413000000000,2023,11,34.6,51.1,155430000000,488898000000,722043000000
Barbados,BRB,4920000000,2023,1.4,13.1,72.3,68880000,644520000,3557160000
Belarus,BLR,254407000000,2023,7.3,32.5,47.8,18571711000,82682275000,121606546000
Belgium,BEL,751592000000,2023,0.8,18.4,70.7,6012736000,138292928000,531375544000
Belize,BLZ,5257000000,2023,9,13.2,63,473130000,693924000,3311910000
Benin,BEN,52510000000,2023,25.4,17.3,47.7,13337540000,9084230000,25047270000
Bermuda,BMU,6349000000,2022,0.2,5.4,90.5,12698000,342846000,5745845000
Bhutan,BTN,10981000000,2022,14.7,31.8,51.2,1614207000,3491958000,5622272000
Bolivia,BOL,119785000000,2023,12.5,24.8,51.3,14973125000,29706680000,61449705000
Bosnia and Herzegovina,BIH,63769000000,2023,4.3,23.3,56.4,2742067000,14858177000,35965716000
Botswana,BWA,46742000000,2023,1.6,34.3,59.4,747872000,16032506000,27764748000
Brazil,BRA,4016000000000,2023,6.2,22.3,58.9,248992000000,895568000000,2365424000000
