country,number_of_weapons,yield_kt,fatalities,industry_destroyed_pct,soot_emissions,non_overlapping
United States of America,10,100,5905037,0.0011839578736427964,1.4731444061721792,False
United States of America,16,100,8036133,0.0017015838325352658,2.2507008465359135,False
United States of America,27,100,10711197,0.003072316270768852,3.070184648504298,False
United States of America,46,100,14439229,0.006790890930402632,4.312662928949807,False
United States of America,77,100,19581461,0.011500472613045827,5.8880964264033535,False
United States of America,129,100,26517898,0.019575803198001864,8.224509662894544,False
United States of America,215,100,36041352,0.031218519970226306,11.68874644960891,False
United States of America,359,100,49166668,0.05191121928634556,16.629363744461752,False
United States of America,599,100,66688487,0.08860102470824123,23.55822077561601,False
United States of America,1000,100,89880871,0.15246106142651936,33.428230174583256,False
United States of America,2000,100,129745032,0.25034653431448617,55.12233324367123,False
United States of America,10,100,5519655,0.00082525001556117,1.3081204804956987,True
United States of America,16,100,7030967,0.0018634987324340681,1.7014153180100835,True
United States of America,27,100,9286439,0.004271898344847724,2.3248502979352286,True
United States of America,46,100,12472843,0.008161068767573982,3.257080689028158,True
United States of America,77,100,16601575,0.013492814312302016,4.445412790764261,True
United States of America,129,100,22118311,0.020439208834990463,6.13204848684996,True
United States of America,215,100,29645298,0.03446335835959074,8.561544863721116,True
United States of America,359,100,39323372,0.05421855200710921,11.935916932181149,True
United States of America,599,100,51389219,0.08287608018165059,16.572319520495004,True
United States of America,1000,100,64555260,0.12726204083599574,22.6679084540723,True
United States of America,2000,100,81400996,0.19817843149156825,33.92681041066513,True
